Demo number,Notebook title,GitHub notebook path,Direct Open-in-Colab URL,Dataset(s) used,Dataset storage location,Runtime (seconds)
Week 02.1,Regression Review,demos/Week_02_1_Regression_Review.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_02_1_Regression_Review.ipynb,,,5.4
Week 02.2,Classification,demos/Week_02_2_Classification.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_02_2_Classification.ipynb,GRE.csv,GitHub,5.6
Week 02.3,Tree Based Regression & Classification,demos/Week_02_3_Tree_Based_Regression_Classification.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_02_3_Tree_Based_Regression_Classification.ipynb,"Carseats.csv, Heart.csv, Hitters.csv, ISLR_Hitters.csv, boston_house_prices.csv",GitHub,48.5
Week 02 Bonus,To Intercept or Not,demos/Week_02_Bonus_To_Intercept_or_Not.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_02_Bonus_To_Intercept_or_Not.ipynb,FY20AuditData2.csv,GitHub,18.8
Week 03.1,Hierarchical Clustering & K-Means,demos/Week_03_1_Hierarchical_Clustering_KMeans.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_03_1_Hierarchical_Clustering_KMeans.ipynb,,External URL,16.6
Week 03.2,PCA & Anomaly Detection,demos/Week_03_2_PCA_Anomaly_Detection.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_03_2_PCA_Anomaly_Detection.ipynb,,,4.6
Week 03 Bonus,Raindrop Plot Demo,demos/Week_03_Bonus_Raindrop_Plot.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_03_Bonus_Raindrop_Plot.ipynb,drug_consumption.xlsx,GitHub,4.3
Week 03 Readings,Feature Standardization & Transformation,demos/Week_03_Readings_Standardize_Transform.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_03_Readings_Standardize_Transform.ipynb,,Scikit-learn Built-in,5.2
Week 04.1,Stepwise Selection,demos/Week_04_1_Stepwise_Selection.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_04_1_Stepwise_Selection.ipynb,UScrime 2.csv,GitHub,6.9
Week 04.2,L1 & L2 Regularization,demos/Week_04_2_L1_L2_Regularization.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_04_2_L1_L2_Regularization.ipynb,"Hitters.csv, Hitters_X_train.csv, Hitters_X_test.csv, Hitters_y_train.csv, Hitters_y_test.csv",GitHub,24.4
Week 04.3,Natural Language Processing,demos/Week_04_3_Natural_Language_Processing.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_04_3_Natural_Language_Processing.ipynb,NLP Training data.csv,GitHub,40.3
Week 04 Bonus,Standard Plot Format,demos/Week_04_Bonus_Standard_Plot_Format.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_04_Bonus_Standard_Plot_Format.ipynb,,,5.2
Week 05.1,Pima Indian Classification,demos/Week_05_1_Pima_Indian_Classification.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_05_1_Pima_Indian_Classification.ipynb,5A pima-indians-diabetes.data.csv,GitHub,14.7
Week 05 Bonus,Plotting Histograms of Numeric Variables,demos/Week_05_Bonus_Histograms.ipynb,https://colab.research.google.com/github/DataAnalytics808/DASC-522-demo-repository/blob/main/demos/Week_05_Bonus_Histograms.ipynb,"Z_X.csv, Z_y.csv",GitHub,6.0
