ayear,itn_ac,itn_at,itn_ga,itn_mil,loc_ga,loc_mil,tot_overs,aat,aip,acft
1990,0,0,12000,200,5600,0,0,0,0,37
1991,0,0,12000,200,5000,0,0,0,0,28
1992,0,0,12000,200,5000,0,0,0,0,28
1993,0,0,12000,200,5000,0,0,0,0,28
1994,0,0,12000,200,5000,0,0,0,0,28
1995,0,0,12000,200,4800,0,0,0,0,25
1996,0,0,12000,200,4800,0,0,0,0,25
1997,0,0,11500,500,4500,0,0,0,0,20
1998,0,0,11500,500,4500,0,0,0,0,20
1999,0,0,11705,500,4611,0,0,0,0,22
2000,0,500,5000,1000,11500,0,0,0,0,22
2001,0,507,5085,1000,11680,0,0,0,158400,22
2002,0,507,5176,1000,11972,0,0,5,0,22
2003,0,507,5268,1000,12265,0,0,5,867750,22
2004,0,507,5358,1000,12553,0,0,5,0,22
2005,0,507,5450,1000,12846,0,0,5,419175,22
2006,0,507,5532,1000,13097,0,0,5,0,22
2007,0,507,5615,1000,13353,0,0,7,250000,28
2008,0,0,6000,1500,15000,0,0,5,179812,23
2009,0,0,4704,1176,15120,0,0,5,75000,22
2010,0,0,4756,1176,15286,0,0,5,0,21
2011,0,0,4809,1176,15453,0,0,5,0,22
2012,0,0,4862,1176,15623,0,0,5,129388,21
2013,0,0,6000,1500,14000,0,0,4,0,19
2014,0,0,6000,1500,14000,0,0,4,2627605,19
2015,0,0,6000,1500,10000,0,0,4,0,24
2016,0,0,6000,1500,10000,0,0,4,126122,24
2017,0,0,6000,1500,10000,0,0,4,1050267,23
2018,0,0,6000,1500,10000,0,0,4,179980,23
2019,0,0,6066,1500,10110,0,0,4,193130,24
2020,0,0,6132,1500,10221,0,0,4,0,25
