position,height,weight,fortyyd,vertical
RB,69,205,4.6,42.5
RB,72,221,4.57,39
OLB,73,227,4.55,36
WR,68,180,4.43,34
RB,72,221,4.53,35.5
FS,72,218,4.56,35.5
DE,78,294,5.03,30
ILB,75,243,4.56,37
DT,79,292,5.1,34
RB,70,212,4.53,36.5
OLB,75,246,4.53,41
TE,78,252,4.8,33
WR,73,197,4.42,41.5
QB,74,211,4.81,37
DT,76,318,5.02,31
OG,76,303,5.57,23.5
QB,72,231,5.03,26.5
OT,79,301,5.6,25
TE,76,268,5.04,30.5
QB,76,229,4.72,33
WR,72,205,4.54,37
RB,71,224,4.62,34.5
DT,74,319,5.05,29.5
OG,80,355,5.29,23.5
FB,71,242,4.74,33
QB,74,218,4.94,29.5
LS,74,242,4.91,33
CB,72,196,4.51,40
RB,67,186,4.57,36
DE,75,267,4.79,34.5
DE,75,271,4.79,38.5
WR,70,195,4.51,33
TE,77,277,4.98,32
OT,77,309,5.14,32.5
WR,73,212,4.43,41
RB,71,229,4.81,38.5
OT,76,310,5.19,30
CB,71,185,4.53,37.5
CB,73,203,4.48,36
OT,76,305,5.12,27
SS,72,228,4.53,35
WR,74,213,4.35,45
WR,73,211,4.42,33
DT,75,293,4.86,29
FS,73,191,4.36,38
DE,77,283,5.01,33
OT,79,301,5.26,32.5
RB,72,217,4.62,40
WR,68,185,4.56,37
WR,73,201,4.62,37
CB,71,193,4.38,41.5
OLB,72,225,4.95,29
DT,77,320,5.07,33
WR,75,220,4.57,35.5
RB,69,217,4.61,34
WR,73,196,4.51,32.5
DT,74,316,5.18,33
ILB,72,235,4.93,28
OLB,75,260,4.74,29.5
CB,69,196,4.56,35.5
WR,72,195,4.46,35
C,75,296,5.31,27.5
OT,78,313,5.31,32
WR,70,185,4.33,37
CB,70,182,4.5,33.5
OG,76,304,5.25,29
FS,73,208,4.65,39.5
OLB,76,269,4.56,42
RB,68,218,4.58,34
RB,69,220,4.8,35.5
OLB,75,255,4.77,34
C,77,313,5.15,30.5
FS,75,208,4.63,31
OG,78,353,5.55,29.5
QB,73,223,4.63,32.5
OG,76,323,5.33,26.5
C,76,318,5.25,24
OT,78,306,5.01,32.5
DE,74,266,4.93,36.5
FB,71,254,4.94,33.5
OLB,77,238,4.73,34.5
WR,76,232,4.7,38.5
CB,70,180,4.44,34.5
C,74,306,5.5,27
SS,74,218,4.55,37
OT,78,305,5.04,33.5
CB,72,179,4.64,34
OG,76,307,5.2,29.5
CB,69,176,4.46,33.5
RB,73,215,4.52,35
CB,70,200,4.44,33
OT,77,314,5.16,29.5
WR,77,237,4.49,33.5
WR,71,182,4.53,36.5
OLB,77,235,4.64,36.5
DE,75,262,4.81,37
CB,73,202,4.69,33.5
DE,77,246,4.72,36
FS,72,195,4.81,32
ILB,73,234,4.6,35
WR,72,198,4.6,41
WR,70,192,4.56,36.5
OLB,75,247,4.6,35
WR,73,191,4.64,32
OG,76,330,5.19,29.5
RB,67,199,4.8,33
OT,79,321,5.46,28.5
RB,70,198,4.63,30.5
ILB,72,231,4.59,33.5
ILB,73,244,4.83,32
OLB,73,236,4.68,38
CB,70,182,4.55,32.5
RB,72,226,4.83,27
OLB,74,250,4.68,33.5
OT,77,307,5.12,31
QB,75,226,4.63,36
DE,75,275,4.88,31
RB,72,247,5.02,31.5
OG,76,330,5.52,25
TE,79,261,4.83,37.5
NT,73,304,5.06,31
SS,70,200,4.57,33
CB,73,198,4.72,33.5
RB,73,224,4.5,41.5
RB,69,207,4.54,33.5
RB,70,215,4.7,36.5
CB,72,188,4.52,41.5
WR,70,182,4.63,32.5
RB,74,231,4.61,31.5
ILB,75,245,4.95,32
ILB,72,232,4.61,38
RB,72,208,4.42,34.5
WR,76,214,4.58,33.5
WR,74,192,4.61,36
WR,70,182,4.4,35.5
WR,72,192,4.51,34
DT,76,314,4.99,26.5
QB,76,248,4.99,31.5
WR,72,211,4.65,34
CB,71,201,4.44,38
QB,78,229,5.14,31
QB,76,222,4.52,36
FS,73,203,4.58,33.5
C,76,307,4.98,30.5
QB,73,207,4.54,37.5
OG,77,309,5.52,17.5
OLB,76,259,4.85,32
WR,74,224,4.67,35.5
DT,75,313,5.54,22.5
WR,72,210,4.41,38
CB,69,195,4.51,36
DT,77,338,5.21,32
FS,71,195,4.63,33
ILB,76,246,4.66,40.5
OG,77,307,5.51,25
OG,74,303,5.33,27
WR,72,221,4.55,40.5
OG,77,305,5.14,31
WR,72,215,4.54,32.5
RB,68,193,4.61,29
OG,77,326,5.44,27.5
WR,70,156,4.28,36
CB,70,197,4.49,34.5
DT,74,307,5.02,34
TE,75,252,4.93,30.5
DE,75,267,4.62,39
DE,75,250,4.8,31.5
DT,77,323,5.16,28
WR,75,209,4.45,36.5
NT,73,308,5.38,29
OT,79,313,5.18,31
ILB,71,236,4.78,32
CB,72,191,4.61,32.5
CB,72,197,4.53,37.5
QB,75,230,4.87,34
NT,77,329,5.17,30
DT,73,298,5,31
OG,77,307,5.09,31
OG,77,335,5.32,26.5
FS,74,208,4.6,35
TE,74,251,4.58,38
ILB,72,240,4.78,31
FS,71,196,4.46,38
RB,69,215,4.65,35.5
SS,71,211,4.65,32
DT,75,283,5.16,32.5
OLB,75,245,4.61,37
RB,68,217,4.7,32
CB,71,195,4.57,36.5
FS,73,205,4.45,39
WR,72,218,4.68,27.5
DE,76,269,4.75,32.5
OLB,74,240,4.65,34.5
OT,78,311,5.36,29
SS,74,209,4.56,32.5
TE,75,248,4.65,36
RB,72,204,4.62,33
CB,72,201,4.44,37.5
NT,74,339,5.64,30.5
OT,76,315,5.39,29
TE,77,245,4.84,33
NT,76,321,5.12,29.5
QB,71,218,4.57,30.5
CB,70,187,4.45,36
WR,72,196,4.42,39
OG,78,338,5.27,32
DE,77,271,4.74,34
CB,72,195,4.6,36.5
DE,76,274,4.83,29
OLB,72,236,4.88,35
WR,74,217,4.44,42
DT,73,304,5.19,30
CB,72,189,4.5,33
OLB,74,249,4.91,30.5
OLB,72,228,4.64,33.5
TE,78,263,4.98,30.5
OG,75,323,5.33,31.5
DE,79,269,4.91,32.5
DT,73,290,4.96,32
OLB,77,251,4.83,36.5
DE,75,247,4.82,37.5
TE,76,251,4.79,35
WR,78,238,4.46,37
DT,77,319,5.25,27
OLB,76,247,4.99,32.5
CB,72,186,4.31,38
WR,71,193,4.44,34.5
WR,75,215,4.35,36.5
CB,69,183,4.63,35.5
FS,71,197,4.59,37
OT,77,327,5.34,26
RB,73,230,4.48,33.5
DE,77,302,4.97,29.5
TE,76,249,4.78,34.5
CB,72,194,4.57,40
RB,67,195,4.49,33.5
ILB,72,245,4.77,37
CB,74,205,4.58,36
ILB,74,237,4.77,35
QB,76,231,4.97,28.5
DT,75,300,5.07,26.5
RB,73,226,4.61,36
RB,71,223,4.6,41
WR,73,195,4.5,30.5
WR,73,212,4.56,39.5
SS,73,220,4.54,38
CB,69,187,4.61,35.5
TE,77,265,4.74,33
RB,70,225,4.82,29.5
RB,68,173,4.26,38
RB,73,218,4.48,38
SS,72,201,4.66,34
OLB,77,255,4.66,34.5
OLB,73,237,4.64,35
WR,71,198,4.43,38.5
WR,77,240,4.61,32.5
CB,71,195,4.63,40.5
SS,70,193,4.71,35.5
RB,69,212,4.67,29
OT,76,302,4.97,32
RB,74,223,4.63,32
C,75,310,5.18,29
OG,76,298,5.3,25
ILB,71,248,4.83,31
QB,77,232,4.93,32.5
SS,72,204,4.59,35
QB,73,222,4.84,30.5
OLB,73,250,4.76,37.5
CB,71,197,4.62,34.5
OT,78,325,5.19,27.5
DT,75,306,5.06,33.5
FS,71,198,4.42,38
WR,71,178,4.51,33
WR,70,179,4.34,36.5
OLB,72,238,5.03,31
ILB,73,251,4.86,33
WR,76,211,4.42,39
SS,73,211,4.49,36.5
ILB,75,249,4.78,31
WR,70,188,4.58,31
TE,74,224,4.62,30
WR,69,192,4.46,39
RB,69,207,4.7,32.5
QB,74,214,4.69,34.5
NT,73,337,5.47,26
DE,78,271,4.77,32
FS,73,208,4.58,33
DE,77,266,4.53,37.5
CB,72,191,4.56,36.5
WR,78,225,4.56,32.5
WR,70,189,4.33,36
WR,71,184,4.5,40
FB,71,271,4.95,28.5
RB,72,209,4.48,34.5
DE,75,273,4.84,31.5
RB,71,224,4.57,38
TE,76,235,4.77,32.5
CB,73,198,4.59,35
SS,72,212,4.64,32
CB,71,203,4.41,32.5
DT,73,285,4.68,32
SS,75,190,4.52,33.5
OT,76,313,5.42,24
DE,76,273,4.92,31
TE,76,250,4.6,32
DE,74,253,4.79,34.5
OG,76,313,5.25,27
WR,69,197,4.45,39.5
DT,73,334,5.27,28
DE,73,261,5.01,34
WR,77,231,4.53,37
WR,73,213,4.51,34.5
CB,72,213,4.59,35
QB,74,212,4.99,28
OT,78,330,5.37,26.5
TE,77,265,4.76,31.5
RB,69,207,4.75,32
OT,77,323,5.28,23.5
RB,71,224,4.72,36.5
ILB,74,248,4.7,36
WR,73,217,4.52,36
WR,71,189,4.56,36
RB,68,206,4.58,31.5
CB,72,190,4.49,38.5
OG,77,316,5.16,24.5
RB,71,220,4.49,36.5
CB,72,193,4.38,36.5
QB,74,226,4.97,30.5
DE,76,259,4.7,37
ILB,71,234,4.91,33
CB,72,202,4.37,35.5
TE,78,260,4.89,33.5
CB,71,194,4.52,37
WR,72,199,4.64,35.5
OG,77,316,5.19,26.5
DT,78,310,5.02,35.5
CB,70,188,4.5,35.5
OG,75,323,5.34,21.5
CB,69,197,4.69,33.5
C,75,304,5.15,27
WR,73,198,4.5,36.5
LS,75,258,4.91,29
OT,79,331,5.04,24
WR,69,193,4.48,35.5
FB,76,246,4.87,33
RB,73,233,4.66,29
OLB,72,240,4.74,31.5
WR,76,223,4.65,27.5
OLB,78,257,4.69,38.5
WR,71,206,4.51,35.5
FS,71,196,4.49,35.5
WR,73,198,4.55,31
RB,72,230,4.66,34.5
DT,74,290,5.1,29.5
C,76,304,5.13,26
CB,72,195,4.51,38
OG,75,336,5.51,29
OT,78,311,5.34,29
CB,70,180,4.44,39
WR,75,219,4.42,37.5
CB,75,218,4.61,41.5
DE,75,247,4.63,36
TE,78,259,4.85,35
NT,74,299,5.06,29.5
DT,74,308,5.24,24.5
CB,74,200,4.45,38.5
RB,72,209,4.6,35.5
OT,77,297,5.11,29
ILB,75,240,4.74,33.5
DT,76,322,5.35,27.5
DE,74,235,4.6,40.5
WR,72,188,4.48,33
TE,75,240,4.77,30
RB,68,194,4.43,34.5
CB,68,184,4.55,37.5
OLB,75,249,4.7,30
NT,73,326,5.08,28.5
OT,79,322,5.59,27.5
FS,72,207,4.7,36.5
